match_id,start_x,start_y,end_x,end_y,height,angle,duration,outcome
8658,61.0,41.0,50.0,42.0,Ground Pass,3.050933,1.159,
8658,49.0,41.0,44.0,51.0,Ground Pass,2.0344439,0.773,
8658,43.0,56.0,42.0,79.0,Ground Pass,1.6142472,1.253,
8658,38.0,78.0,10.0,49.0,Ground Pass,-2.3386524,2.667,
8658,9.0,49.0,73.0,45.0,High Pass,-0.06241881,4.227,Incomplete
8658,48.0,50.0,48.0,60.0,High Pass,1.5707964,3.053,Incomplete
8658,73.0,21.0,61.0,25.0,Ground Pass,2.819842,1.026,
8658,60.0,18.0,68.0,2.0,Ground Pass,-1.1071488,0.759,
8658,69.0,2.0,65.0,27.0,Ground Pass,1.7294515,1.96,
8658,69.0,24.0,66.0,22.0,Ground Pass,-2.55359,0.613,
8658,63.0,21.0,51.0,24.0,Ground Pass,2.896614,1.133,
8658,49.0,30.0,56.0,33.0,Ground Pass,0.4048918,0.653,
8658,56.0,33.0,46.0,30.0,Ground Pass,-2.8501358,1.08,
8658,48.0,27.0,53.0,17.0,Ground Pass,-1.1071488,1.213,
8658,47.0,17.0,37.0,25.0,Ground Pass,2.4668517,1.693,
8658,37.0,26.0,35.0,45.0,Ground Pass,1.6756732,0.92,
8658,40.0,49.0,56.0,15.0,Ground Pass,-1.1309538,2.013,
8658,55.0,12.0,69.0,20.0,Ground Pass,0.5191461,1.213,
8658,49.0,80.0,46.0,61.0,Low Pass,-1.7273982,1.4,
8658,65.0,64.0,66.0,69.0,High Pass,1.3734008,2.68,Incomplete
8658,55.0,12.0,26.0,27.0,High Pass,2.6642473,0.92,
8658,61.0,6.0,56.0,10.0,Low Pass,2.4668517,0.8,Incomplete
8658,63.0,73.0,65.0,79.0,Ground Pass,1.2490457,0.56,
8658,58.0,79.0,26.0,69.0,Low Pass,-2.8387077,4.2,
8658,26.0,69.0,8.0,43.0,Ground Pass,-2.176341,2.52,
8658,8.0,43.0,19.0,29.0,Ground Pass,-0.9048271,1.373,
8658,41.0,30.0,56.0,28.0,Ground Pass,-0.13255154,1.32,
8658,55.0,27.0,39.0,23.0,Ground Pass,-2.896614,1.52,
8658,42.0,25.0,69.0,26.0,Ground Pass,0.037020117,1.093,
8658,69.0,26.0,65.0,26.0,Low Pass,3.1415927,0.559,
8658,65.0,26.0,61.0,31.0,Low Pass,2.2455373,2.0,
8658,61.0,31.0,45.0,48.0,Ground Pass,2.3259008,1.666,
8658,45.0,48.0,55.0,66.0,Ground Pass,1.0636978,2.693,
8658,57.0,76.0,98.0,66.0,High Pass,-0.2392316,2.44,Incomplete
8658,23.0,15.0,31.0,4.0,Low Pass,-0.94200003,1.72,
8658,32.0,3.0,33.0,5.0,High Pass,1.1071488,0.2,Incomplete
8658,37.0,7.0,40.0,2.0,Ground Pass,-1.0303768,1.173,
8658,42.0,2.0,66.0,4.0,High Pass,0.08314123,1.56,
8658,68.0,4.0,68.0,28.0,High Pass,1.5707964,1.32,
8658,74.0,79.0,62.0,75.0,High Pass,-2.819842,2.28,Incomplete
8658,2.0,62.0,7.0,80.0,Ground Pass,1.2998495,0.84,Out
8658,111.0,1.0,114.0,24.0,High Pass,1.4410938,1.587,
8658,115.0,23.0,109.0,17.0,High Pass,-2.3561945,2.52,Incomplete
8658,12.0,64.0,40.0,80.0,High Pass,0.5191461,3.6,Out
8658,63.0,1.0,46.0,11.0,High Pass,2.6098685,1.773,
8658,44.0,12.0,57.0,14.0,Ground Pass,0.15264933,2.093,
8658,57.0,14.0,68.0,14.0,Ground Pass,0.0,1.133,
8658,66.0,14.0,56.0,11.0,Ground Pass,-2.8501358,0.8,
8658,57.0,13.0,44.0,67.0,Ground Pass,1.8070416,2.293,
8658,57.0,68.0,46.0,33.0,Ground Pass,-1.8753072,2.093,
8658,46.0,27.0,56.0,20.0,Ground Pass,-0.61072594,1.133,
8658,52.0,21.0,98.0,77.0,High Pass,0.88312507,3.159,
8658,101.0,79.0,104.0,78.0,Ground Pass,-0.32175055,0.48,Incomplete
8658,101.0,74.0,120.0,75.0,Low Pass,0.05258306,2.493,
8658,119.0,74.0,113.0,43.0,High Pass,-1.7619808,1.027,Incomplete
8658,111.0,80.0,105.0,77.0,High Pass,-2.6779451,0.813,
8658,107.0,77.0,110.0,79.0,Ground Pass,0.5880026,0.973,
8658,11.0,5.0,8.0,15.0,Ground Pass,1.8622531,0.56,
8658,9.0,15.0,11.0,3.0,Ground Pass,-1.4056476,0.88,
8658,11.0,3.0,8.0,13.0,Ground Pass,1.8622531,1.0,
8658,9.0,16.0,55.0,18.0,High Pass,0.043450896,2.2,Incomplete
8658,67.0,61.0,48.0,66.0,High Pass,2.884269,3.08,
8658,47.0,65.0,9.0,42.0,Low Pass,-2.5973122,3.013,
8658,8.0,45.0,21.0,75.0,Ground Pass,1.1618885,1.533,
8658,26.0,74.0,31.0,66.0,Ground Pass,-1.012197,0.973,
8658,31.0,64.0,42.0,77.0,Ground Pass,0.8685394,1.653,
8658,48.0,76.0,90.0,73.0,High Pass,-0.071307465,2.24,
